小区名|30天成交|出租数|所属区|区域|建筑方式|均价|在售数|年份|学区|地铁线|地铁站
湖景苑|0|6|东城|安定门|塔板结合|69217|6|1999年|北京市第一七一中学青年湖小学部|2号线|鼓楼大街站
花市枣苑二期|0|6|东城|东花市|塔楼|70345|6|2003年|北京市崇文小学|7号线|广渠门内站
安贞苑50号院|0|3|东城|安贞|板楼|70967|6|1996年||10号线|安贞门站
富贵园四区|0|8|东城|东花市|板楼/塔板结合|75113|6|2006年|北京市崇文小学|7号线|广渠门内站
禾风仕家|0|2|东城|金宝街|塔板结合|76263|6|2008年||5号线|东四站
交道口北三条|0|1|东城|交道口|板楼/平房|79269|6|1985年|北京市东城区方家胡同小学|2号线|雍和宫站
东直门内大街|0|10|东城|东直门|塔楼/板楼/平房|80100|6|1940年|北京景山学校北校区小学部|2号线|雍和宫站
十字坡西里|1|0|东城|东直门|板楼|81599|6|1981年|北京市东城区史家实验学校|2号线|东直门站
宣祥家园|0|2|东城|木樨园|塔楼/板楼|34537|5|2003年||14号线|(东段)景泰站
西革新里112号院|0|1|东城|西罗园|塔楼|41433|5|2001年||4号线|北京南站站
宝润苑|0|0|东城|东花市|塔板结合|43109|5|1998年||2号线|北京站站
西革新里110号院|0|2|东城|西罗园|板楼|43868|5|1992年||4号线|北京南站站
京宝花园|1|5|东城|安定门|板楼|44491|5|1994年||2号线|安定门站
桃园南街10号院|0|0|东城|永定门|板楼|46136|5|1980年|北京市第一师范学校附属小学|14号线|(东段)景泰站
王家园胡同|0|3|东城|朝阳门外|板楼|56347|5|1996年|北京市东城区史家实验学校|2号线|东四十条站
雅安国际公寓|0|4|东城|建国门内|塔楼|60116|5|2005年||1号线|建国门站
安化南里|0|3|东城|广渠门|塔楼/板楼|60308|5|1985年|北京市东城区培新小学|7号线|广渠门内站
京禧阁|0|7|东城|广渠门|塔楼|62012|5|2014年|北京市东城区文汇小学|7号线|广渠门外站
甘水桥|0|2|东城|和平里|板楼/塔板结合|64873|5|1983年||5号线|和平里北街站
小羊宜宾胡同|0|1|东城|建国门内|塔楼/板楼/平房|65597|5|1988年|北京市新开路东总布小学|1号线|建国门站
安定路|0|3|东城|安贞|塔楼|65688|5|1993年||10号线|安贞门站
东堂子胡同|1|4|东城|建国门内|板楼/平房|65979|5|1955年||1号线|东单站
玉石胡同|0|0|东城|灯市口|板楼/平房|66548|5|1990年||5号线|东四站
雍和家园二期|0|3|东城|和平里|板楼|66755|5|2005年|北京市东城区和平里第四小学|2号线|雍和宫站
青年湖北里|0|3|东城|安定门|塔楼/板楼/塔板结合|69772|5|1987年|北京市东城区安外三条小学|2号线|安定门站
崇文门西大街|0|2|东城|前门|塔楼/板楼/塔板结合|70829|5|1979年||1号线|东单站
瑞士公寓|0|2|东城|朝阳门外|塔楼|70860|5|2007年|北京市东城区史家实验学校|2号线|东四十条站
东花市北里东区|0|0|东城|东花市|板楼|70999|5|1988年|北京市广渠门中学附属花市小学|7号线|广渠门内站
幸福家园一期|0|2|东城|广渠门|塔楼/塔板结合|72023|5|2002年|北京市崇文小学|7号线|广渠门内站
民安小区东扬威街|0|1|东城|东直门|塔楼/板楼|73990|5|2002年|北京景山学校北校区小学部|2号线|东直门站
十字坡东里|0|1|东城|工体|板楼|74073|5|1986年|北京市东城区西中街小学|2号线|东直门站
国祥胡同4号院|0|2|东城|安定门|板楼|74203|5|1982年|北京市东城区分司厅小学|2号线|鼓楼大街站
安德路乙61号院|0|2|东城|六铺炕|塔楼/板楼/平房|74624|5|1989年|北京市东城区安外三条小学|2号线|鼓楼大街站
炮局头条|0|2|东城|东直门|板楼|76138|5|1987年||2号线|雍和宫站
灯市口大街|0|5|东城|灯市口|板楼/塔板结合|78791|5|1988年|北京市第一六六中学附属校尉胡同小学|5号线|灯市口站
东直门内北小街8号院|0|2|东城|东直门|塔楼/塔板结合|78922|5|2003年|北京景山学校北校区小学部|2号线|雍和宫站
花市枣苑三期|0|6|东城|东花市|塔楼|80357|5|2004年|北京市崇文小学|7号线|广渠门内站
北官厅胡同|0|6|东城|东直门|塔楼/板楼|86717|5|1984年|北京景山学校北校区小学部|2号线|雍和宫站
禾风相府|0|9|东城|金宝街|板楼/塔板结合|87637|5|2008年||5号线|东四站
仓南胡同12号院|0|3|东城|朝阳门内|板楼|89661|5|1988年|北京市东城区史家胡同小学|2号线|朝阳门站
仓南胡同|0|3|东城|朝阳门内|板楼|91779|5|1979年|北京市东城区史家胡同小学|2号线|朝阳门站
禄米仓胡同71号院|0|1|东城|朝阳门内|板楼|92555|5|1982年|北京市东城区史家胡同小学|2号线|朝阳门站
新世界中心|0|3|东城|崇文门|塔楼|41955|4|1996年||5号线|崇文门站
东直门内北小街2号院|0|4|东城|东直门|塔楼|52719|4|2003年|北京景山学校北校区小学部|2号线|雍和宫站
丽水湾畔家园|0|7|东城|广渠门|塔楼/塔板结合|52826|4|2002年|北京市东城区文汇小学|7号线|广渠门外站
郭庄北里|0|2|东城|永定门|板楼|53615|4|1980年|北京市东城区景泰小学|14号线|(东段)景泰站
龙潭北里六条|0|2|东城|左安门|板楼|57533|4|1963年|北京市光明小学||
华府景园|1|0|东城|安定门|塔楼/塔板结合|59138|4|2001年|北京市东城区安外三条小学|5号线|和平里北街站
京城仁合|0|4|东城|广渠门|塔板结合|59626|4|2002年|北京市东城区文汇小学|7号线|广渠门内站
南岗子|0|1|东城|崇文门|板楼|60163|4|1978年|北京市东城区培新小学|5号线|天坛东门站
黄寺大街2号院|0|2|东城|安定门|板楼|62243|4|1990年|北京市东城区安外三条小学|2号线|安定门站
安外大街3号院|0|1|东城|安定门|板楼/塔板结合|63157|4|1988年|北京市东城区安外三条小学|5号线|和平里北街站
幸福北里|0|2|东城|广渠门|板楼|63976|4|1960年|北京市东城区培新小学|7号线|广渠门内站
化工大院|0|5|东城|和平里|板楼/平房|63987|4|1960年||5号线|和平里北街站
前门前|0|4|东城|天坛|塔楼/板楼/塔板结合|64163|4|1999年||7号线|珠市口站
西青年沟|0|2|东城|安贞|板楼|64469|4|1983年||5号线|和平里北街站
演乐胡同|0|2|东城|金宝街|塔楼/平房|69323|4|1970年||2号线|朝阳门站
花园胡同8号院|1|0|东城|安定门|板楼|69976|4|1985年||2号线|安定门站
灯市口西街|0|1|东城|灯市口|板楼/平房|70288|4|1985年|北京市第一六六中学附属校尉胡同小学|5号线|灯市口站
东交民巷32号院|0|3|东城|前门|塔板结合|71589|4|1979年||1号线|天安门东站
新中西里|0|3|东城|东直门|板楼/平房|71710|4|1983年|北京市东城区史家实验学校|2号线|东直门站
中绦胡同甲2号院|0|2|东城|安定门|板楼|74780|4|1985年|北京市东城区分司厅小学|2号线|鼓楼大街站
巷上嘉园|0|2|东城|安定门|塔板结合|76693|4|2005年|北京市东城区安外三条小学|2号线|鼓楼大街站
芳嘉园胡同|0|6|东城|朝阳门内|板楼|77161|4|2003年|北京市第二中学新鲜小学|2号线|朝阳门站
和平里东街9号院|0|3|东城|和平里|塔楼/塔板结合|78719|4|2000年|北京市东城区和平里第四小学|2号线|雍和宫站
朝内大街203号院|0|6|东城|东四|板楼/塔板结合/平房|81321|4|1960年||5号线|东四站
民安小区东羊管胡同|0|0|东城|东直门|板楼/塔板结合|81805|4|2002年|北京景山学校北校区小学部|2号线|东直门站
和平里四区|0|1|东城|和平里|板楼|82447|4|1970年|北京市东城区和平里第一小学|5号线|和平里北街站
铜厂子胡同|0|1|东城|东直门|板楼|83366|4|1979年|北京市东城区史家实验学校|2号线|东四十条站
中轴国际|0|0|东城|安定门|板楼|88552|4|2005年||2号线|鼓楼大街站
南弓匠营胡同|0|9|东城|朝阳门内|板楼|89637|4|2003年|北京市东城区史家胡同小学|2号线|朝阳门站
仓南胡同14号院|0|5|东城|朝阳门内|板楼|97776|4|1993年|北京市东城区史家胡同小学|2号线|朝阳门站
自由季|0|10|东城|广渠门|塔板结合|33838|3|2008年||7号线|广渠门内站
正东国际大厦|0|8|东城|东直门|塔楼|34035|3|2004年||2号线|东直门站
西革新里108号院|0|6|东城|西罗园|板楼|42163|3|1985年||4号线|北京南站站
定安里|0|3|东城|木樨园|板楼/平房|42370|3|1963年||5号线|刘家窑站
天辰大厦|0|3|东城|朝阳门外|塔楼|42456|3|2006年||2号线|朝阳门站
东革新里40号院|0|2|东城|西罗园|板楼|43774|3|1979年|||
景泰嘉园|0|0|东城|永定门|塔板结合|47900|3|2001年||14号线|(东段)景泰站
华世隆国际公寓|0|5|东城|安贞|塔楼|48613|3|2000年||5号线|和平西桥站
琉璃井路|0|1|东城|永定门|板楼/塔板结合|48948|3|1987年|北京市第一师范学校附属小学|14号线|(东段)景泰站
东四块玉南街30号院|0|0|东城|左安门|板楼|49593|3|1980年||5号线|天坛东门站
东四块玉南街甲9号楼|0|0|东城|左安门|塔楼/板楼|52387|3|1980年||5号线|天坛东门站
向新西里|0|1|东城|左安门|板楼|53088|3|1981年||14号线|(东段)方庄站
琉璃寺胡同|0|0|东城|地安门|板楼|53367|3|1981年|北京市东城区分司厅小学|2号线|安定门站
金鱼池东区|0|2|东城|天坛|塔板结合|53809|3|1976年||5号线|磁器口站
李村|0|0|东城|永定门|板楼|54069|3|1980年|北京市东城区景泰小学|14号线|(东段)景泰站
板厂新里|0|1|东城|广渠门|塔楼/板楼|55461|3|1976年|北京市东城区板厂小学|7号线|广渠门外站
体育馆路13号|0|1|东城|崇文门|板楼|56456|3|1960年||5号线|天坛东门站
朝阳门内大街|0|4|东城|朝阳门内|板楼/平房|57214|3|1975年||5号线|东四站
三秀涵雅|1|1|东城|安定门|塔楼|57624|3|2000年|北京市东城区安外三条小学|2号线|安定门站
天坛北里|0|0|东城|天坛|板楼|58088|3|1980年||7号线|桥湾站
安外大街|0|8|东城|安贞|塔楼/板楼/塔板结合|59452|3|1994年||5号线|和平西桥站
上龙嘉园|0|1|东城|安定门|塔板结合|59926|3|1996年|北京市东城区安外三条小学|2号线|安定门站
东环广场|0|2|东城|东直门|塔楼|60121|3|1999年||2号线|东四十条站
